matn,cpc
بذرگرمک,1360
"میوه‌های آجیلی (به‌جز سخت‎پوسته‌های جنگلی خوراکی و بادام ‌زمینی)، با پوست",137
"بادام، با پوست",1371
انواع بادام با پوست,1371
بادام (ربیع) با پوست,1371
بادام (سفید) با پوست,1371
بادام (مامایی) با پوست,1371
"بادام ‌هندی، با پوست",1372
"بادام‌ هندی، با پوست",1372
"شاه‌بلوط، با پوست",1373
"شاه‌بلوط، میوه جنس شاه‌بلوط با پوست ",1373
"فندق، با پوست",1374
"فندق، با پوست",1374
"پسته، با پوست",1375
انواع پسته با پوست ,1375
پسته ابراهیم‌آبادی با پوست ,1375
پسته ابراهیمی,1375
پسته احمدآقایی با پوست,1375
پسته اکبری با پوست,1375
پسته امجدی با پوست,1375
پسته ایتالیایی با پوست,1375
پسته بادامی زرند با پوست,1375
پسته جندقی با پوست,1375
پسته سرخسی با پوست,1375
پسته سنجری دامغان با پوست,1375
پسته شاه‌پسند با پوست,1375
پسته فندقی با پوست,1375
پسته قزوینی با پوست,1375
پسته کریم‌آبادی با پوست,1375
پسته کله‌قوچی با پوست,1375
پسته لک سیریزی با پوست ,1375
پسته مرآتی با پوست,1375
پسته ممتاز با پوست,1375
"گردو، با پوست",1376
"انواع گردو، با پوست",1376
گردو آذرشهر,1376
گردو تویسرکان,1376
"فندق برزیلی، با پوست",1377
"فندق برزیلی، با پوست",1377
"سایر میوه‌های آجیلی (به‌جز میوه‌های آجیلی جنگلی خوراکی و بادام ‌زمینی)، با پوست",1379
خس سه‌کله با پوست,1379
دانه پیگنولیا با پوست,1379
دانه جگن چینی با پوست,1379
دانه جینکو با پوست,1379
دانه قهوه سودانی با پوست,1379
دانه نخل هندی/تملول با پوست,1379
سایر میوه‌های آجیلی با پوست,1379
فندق/جوز ماکادامیا با پوست,1379
گردوی آمریکایی/گردوی پکان با پوست,1379
"سایر میوه‌ها، طبقه‌بندی نشده در جای دیگر",139
"لوبیای لوکاست (خرنوب)، گونه Ceratonia siliqua",1391
لوبیای لوکاست (خرنوب),1391
"سایر میوه‌ها، طبقه‌بندی نشده در جای دیگر ",1399
انجیر تیغی,1399
بلفروت,1399
بنگال کوئینس ,1399
پیتایا ,1399
سنجد تلخ دریایی,1399
فانوس چینی,1399
دانه‌های روغنی و میوه‌های روغنی,14
دانه سویا,141
"دانه سویا، بذر برای کاشتن",1411
بذر دانه سویا,1411
"دانه سویا، بذر برای کاشتن",1411
"دانه سویا، سایر",1412
دانه سویا,1412
بادام ‌زمینی با پوست,142
"بادام ‌زمینی با پوست، بذر",1421
"بادام ‌زمینی با پوست، بذر",1421
بذر بادام ‌زمینی با پوست,1421
"بادام ‌زمینی با پوست، سایر",1422
بادام ‌زمینی با پوست,1422
پسته شامی,1422
پنبه‌دانه ,143
"پنبه‌دانه، بذر ",1431
بذر پنبه‌دانه ,1431
"پنبه‌دانه، بذر ",1431
"پنبه‌دانه، سایر",1432
پنبه (وش),1432
پنبه‌دانه,1432
سایر دانه‌های روغنی,144
بزرک/تخم کتان,1441
بزرک,1441
تخم کتان,1441
دانه خردل,1442
دانه خردل,1442
"دانه شلغم روغنی یا کلم روغنی (منداب، کلزا)",1443
دانه شلغم روغنی ,1443
دانه کلزا,1443
دانه کلم روغنی ,1443
دانه منداب,1443
دانه کنجد,1444
دانه کنجد,1444
تخم آفتابگردان,1445
تخم آفتابگردان,1445
دانه آفتابگردان,1445
گلرنگ (زعفران کاذب),1446
تخم گلرنگ ,1446
زعفران کاذب ,1446
"سایر دانه‌های روغنی، طبقه‌بندی نشده در جای دیگر",1449
تخم خشخاش,1449
تخم شاه‌دانه,1449
دانه کرامبی ,1449
دانه کرچک  ,1449
زیتون ,145
زیتون ,1450
زیتون ,1450
زیتون رودبار,1450
زیتون طارم,1450
"نارگیل، با پوست سخت",146
"نارگیل، با پوست سخت ",1460
"نارگیل، با پوست",1460
سایر میوه‌های روغنی,149
انواع دانه و میوه نخل روغنی,1491
پالپ و هسته میوه نخل روغن    ,1491
"سایر میوه‌های روغنی، طبقه‌بندی نشده در جای دیگر",1499
پریلا ,1499
دانه اویتیسیکا ,1499
دانه پونگان,1499
دانه تالو ,1499
دانه تانگ,1499
دانه کاپوک,1499
دانه کارایت ,1499
دانه موهوا ,1499
دانه نیم ,1499
کارانجا ,1499
ریشه‌ها و غده‌های خوراکی حاوی مقدار زیادی نشاسته یا اینولین,15
سیب‌زمینی,151
سیب‌زمینی,1510
انواع سیب‌زمینی ,1510
سیب‌زمینی استانبولی ,1510
سیب‌زمینی پشندی,1510
سیب‌زمینی دماوند,1510
سیب‌زمینی معمولی ,1510
سایر ریشه‌ها و غده‌های خوراکی حاوی مقدار زیادی نشاسته یا اینولین,159
سیب‌زمینی شیرین,1591
سیب‌زمینی شیرین,1591
کاساوا/مانیوک,1592
کاساوا,1592
مانیوک,1592
یام/سیب‌زمینی هندی ,1593
