,economy,time,AG.LND.TOTL.K2,EN.ATM.GHGT.KT.CE,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,NY.GDP.MKTP.KD
5291,TTO,YR2009,5130.0,29718.79474,,,,22885802840.8926
5292,TTO,YR2010,5130.0,32405.93841,,,,23646349496.0457
5293,TTO,YR2011,5130.0,33334.67922,,,,23576745423.7262
5294,TTO,YR2012,5130.0,32832.03494,,,,25332426864.3412
5295,TTO,YR2013,5130.0,33786.52166,,,,26227149347.4664
5296,TTO,YR2014,5130.0,33773.07257,,,,27237849472.5748
5297,TTO,YR2015,5130.0,32832.58609,,,,27026080986.578
5298,TTO,YR2016,5130.0,29146.11712,,,,24991794742.1822
5299,TTO,YR2017,5130.0,29352.59245,,,,23791984724.8687
5300,TTO,YR2018,5130.0,29205.19888,,,,23648653263.8865
5301,TTO,YR2019,5130.0,28916.12791,,,,23734084234.2447
5302,TTO,YR2020,5130.0,26480.71295,,,,21579528710.8428
5303,TTO,YR2021,5130.0,,,,,21355652579.3085
5304,TUN,YR2000,155360.0,30633.83986,2282.0,1257.0,2152.0,27972151924.2866
5305,TUN,YR2001,155360.0,31521.70108,2273.0,1281.0,2163.0,29034050801.0469
5306,TUN,YR2002,155360.0,31717.41989,2251.0,1264.0,1909.0,29418042715.3542
5307,TUN,YR2003,155360.0,31513.9135,2173.0,1242.0,1909.0,30801396618.5753
5308,TUN,YR2004,155360.0,32858.75131,2082.0,1294.0,1909.0,32722107251.2326
5309,TUN,YR2005,155360.0,33573.07712,2067.0,1317.0,1956.0,33862978423.1905
5310,TUN,YR2006,155360.0,34714.58355,2174.0,1407.0,2218.0,35638786817.9501
5311,TUN,YR2007,155360.0,36298.91028,2197.0,1487.0,2218.0,38029978694.5705
5312,TUN,YR2008,155360.0,36773.95392,2073.0,1493.0,1991.0,39641606086.6461
5313,TUN,YR2009,155360.0,37090.20445,,,,40848078596.133
5314,TUN,YR2010,155360.0,39561.75848,2024.481,1534.0,2165.0,42061729237.3201
5315,TUN,YR2011,155360.0,38042.41588,,1113.6,,41200879629.7761
5316,TUN,YR2012,155360.0,40624.05588,,,1867.0,42938187692.4503
5317,TUN,YR2013,155360.0,39888.61428,,,,43981556010.769
5318,TUN,YR2014,155360.0,42427.86618,870.0,1298.0,2244.0,45340730364.5112
5319,TUN,YR2015,155360.0,42882.92928,664.0,1246.0,2244.0,45779494041.9295
5320,TUN,YR2016,155360.0,41625.79917,667.0,1235.0,2244.0,46291045946.6237
5321,TUN,YR2017,155360.0,41921.08857,679.0,1164.0,2165.0,47326964883.5903
5322,TUN,YR2018,155360.0,42463.58926,535.0,1109.0,1777.0,48569264627.1101
5323,TUN,YR2019,155360.0,42600.15085,545.0,1023.0,1777.0,49340470108.2654
5324,TUN,YR2020,155360.0,40882.99745,334.818,581.226,1777.0,44989664150.5342
5325,TUN,YR2021,155360.0,,413.3,633.332,1777.0,46971672731.1548
5326,TUR,YR2000,769630.0,283075.6235,9895.0,5832.0,8671.0,413825489994.336
5327,TUR,YR2001,769630.0,261178.9429,7561.0,5568.0,8671.0,390030497194.88
5328,TUR,YR2002,769630.0,271454.735,7224.0,5204.0,8671.0,415178579551.82
5329,TUR,YR2003,769630.0,282946.6069,8669.0,5878.0,8697.0,439106176635.555
5330,TUR,YR2004,769630.0,288963.7554,9417.0,5163.0,8697.0,482120738379.834
5331,TUR,YR2005,769630.0,301420.0799,9152.0,5036.0,8697.0,525474505335.922
5332,TUR,YR2006,769630.0,330635.1674,9676.0,5277.0,8697.0,561984411360.158
5333,TUR,YR2007,769630.0,360254.5306,9921.0,5553.0,8697.0,590328139721.3
5334,TUR,YR2008,769630.0,357394.6947,10739.0,5097.0,8699.0,595139459121.408
5335,TUR,YR2009,769630.0,360935.7454,10326.0,5374.0,9080.0,566434966772.826
5336,TUR,YR2010,769630.0,371145.2694,11462.0,5584.0,9594.0,614169032343.374
5337,TUR,YR2011,769630.0,393957.1712,11677.0,7122.0,9642.0,682956643134.524
5338,TUR,YR2012,769630.0,409510.1845,11670.0,6361.0,9642.0,715659972210.858
5339,TUR,YR2013,769630.0,400372.7777,11177.0,6225.0,9718.0,776389567770.091
5340,TUR,YR2014,769630.0,425731.3098,11992.0,7401.0,10087.0,814741000960.492
5341,TUR,YR2015,769630.0,433860.5305,10474.0,8326.0,10131.0,864313810469.009
5342,TUR,YR2016,769630.0,460806.4063,11661.0,7829.0,10131.0,893035686216.222
5343,TUR,YR2017,769630.0,503113.7066,12869.0,8465.0,10207.0,960031200973.599
5344,TUR,YR2018,769630.0,503525.2445,14478.0,8938.0,10315.0,988958668236.331
5345,TUR,YR2019,769630.0,491454.856,14707.0,14259.0,10378.0,997053551434.226
5346,TUR,YR2020,769630.0,504956.3259,15428.0,8297.0,10378.0,1015597149114.51
5347,TUR,YR2021,769630.0,,15900.0,10683.0,10546.0,1131775214457.33
5348,TUV,YR2000,30.0,19.690619,,,,29171722.9332692
5349,TUV,YR2001,30.0,21.77544,,,,29171722.9332692
5350,TUV,YR2002,30.0,21.20506,,,,31949982.2602472
5351,TUV,YR2003,30.0,20.68988,,,,30560852.5967582
5352,TUV,YR2004,30.0,20.774701,,,,29866287.7650137
5353,TUV,YR2005,30.0,20.859521,,,,28477158.1015247
5354,TUV,YR2006,30.0,23.437704,,,,29171722.9332692
5355,TUV,YR2007,30.0,25.755886,,,,31255417.4285027
5356,TUV,YR2008,30.0,22.208869,,,,33339111.9237362
5357,TUV,YR2009,30.0,23.456852,,,,31255417.4285027
5358,TUV,YR2010,30.0,22.515235,,,,30560852.5967582
5359,TUV,YR2011,30.0,23.287923,,,,32644547.0919917
5360,TUV,YR2012,30.0,23.033311,,,,31949982.2602472
5361,TUV,YR2013,30.0,22.078699,,,,33339111.9237362
5362,TUV,YR2014,30.0,22.039087,,,,33339111.9237362
5363,TUV,YR2015,30.0,21.429275,,,,36811936.0824587
5364,TUV,YR2016,30.0,21.500998,,,,38895630.5776922
5365,TUV,YR2017,30.0,21.98272,,,,39847948.4184971
5366,TUV,YR2018,30.0,23.354443,,,,40400752.5680826
5367,TUV,YR2019,30.0,23.763466,,,,45984984.3588252
5368,TUV,YR2020,30.0,21.742689,,,,44019157.5155388
5369,TUV,YR2021,30.0,,,,,44813322.9441554
5370,TZA,YR2000,885800.0,45589.43222,1195.0,428.0,4582.0,18486481203.1781
5371,TZA,YR2001,885800.0,46988.77174,2069.0,471.0,4582.0,19608760036.0481
5372,TZA,YR2002,885800.0,51527.09696,1487.0,445.0,4460.0,20999647619.266
5373,TZA,YR2003,885800.0,56073.57198,1468.0,444.0,,22400909970.0559
5374,TZA,YR2004,885800.0,56193.3884,1196.0,433.0,2600.0,24081832736.0522
5375,TZA,YR2005,885800.0,59486.67382,,433.0,,25882267435.0016
5376,TZA,YR2006,885800.0,57073.87628,,475.0,,27572954444.2172
5377,TZA,YR2007,885800.0,59541.57234,,,,29439239572.2672
5378,TZA,YR2008,885800.0,61633.86741,,,,31113277454.4843
5379,TZA,YR2009,885800.0,62265.66957,,,,32752668789.8946
5380,TZA,YR2010,885800.0,65992.51273,,,,34828049320.6287
5381,TZA,YR2011,885800.0,69312.1093,,,2707.0,37500111399.4411
5382,TZA,YR2012,885800.0,72663.24647,,,,39187673997.6272
5383,TZA,YR2013,885800.0,76460.78054,,,,41845219654.6812
5384,TZA,YR2014,885800.0,76899.20651,,,,44662433111.6494
5385,TZA,YR2015,885800.0,80273.02897,,,,47413919817.124
5386,TZA,YR2016,885800.0,80421.45236,,,,50669888784.2555
5387,TZA,YR2017,885800.0,79828.43676,,,2701.0,54078588995.422
